CDPRDT;CDPRDTNORA;LBLPRDTNORA
126;3CU;CNP - SHELL - STE DES PETROLES SHELL
126;3CV;CNP - SHELL & FILIALES
126;3CW;*** CNP - SHELL - STE COURONNAISE DE RAFFINAGE ***
126;3CX;*** CNP - SHELL - SHELL GLOBAL SOLUTIONS FRANCE **
126;3CY;CNP - SHELL - STE DES LUBRIFIANTS DE NANTERRE
126;3CZ;*** CNP - SHELL - SHELL PETROCHIMIE MEDITERRANEE *
126;3DA;CNP - SHELL - SGMI
126;3DB;CNP - SHELL - BUTAGAZ
710;3DE;ACA - HABITAT 62 59 - ARTICLE 83
808;9BD;***RADIATION***
808;9CT;ACA - LEGAL & GENERAL - ARTICLE 39 - MIGRE
801;1DF;ACA - SATAL IFC EUROS - MIGRE
801;9DD;ACA - COMPAGNIE DES ALPES - ARTICLE 39 - MIGRE
818;3DG;ACA - RCD - LA ROCHE POSAY
710;UC7;SARL LES RESTAURANTS DU MEMORIAL - ARTICLE 83
720;UC8;SARL RESTAURANTS DU MEMORIAL - ARTICLE 82
710;3DH;ACA - AEROPORTS DE PARIS - ARTICLE 83
654;9DI;ACA - AEROPORTS DE PARIS - ARTICLE 39 - MIGRE
710;3DJ;ACA - SOLOCAL GROUP - ARTICLE 83
710;3DK;ACA - MAPPY SA - ARTICLE 83
710;3DL;ACA - PAGES JAUNES - ARTICLE 83
710;3DM;ACA - PAGES JAUNES MARKETING SERVICES - ARTICLE 83
710;3DN;ACA - PAGES JAUNES OUTRE-MER - ARTICLE 83
710;3DO;ACA - PAGES JAUNES PETITES ANNONCES - ARTICLE 83
710;3DP;ACA - MEDIANNUAIRE ET FILIALES PJ - ARTICLE 83
818;3DQ;ACA - ARTICLES 83 EN EUROS PME
818;3DU;ACA - PRODUIT EN EUROS LIBRE
710;3DS;ACA - FLINT GROUP FRANCE - ARTICLE 83
710;3DR;ACA - PARCUB - ARTICLE 83
710;3DT;ACA - GROUPE INEOS - ARTICLE 83
710;3AA;ACA - GEOSTOCK SARL - ARTICLE 83
763;3AB;ACA - RECOSUP - TOTAL SA
763;3AC;ACA - RECOSUP - TOTAL MARKETING SERVICES
763;3AD;ACA - RECOSUP - ELF EP
763;3AE;ACA - RECOSUP - TOTAL LUBRIFIANTS
763;3AF;ACA - RECOSUP - CDF ENERGIE
763;3AG;ACA - RECOSUP - TOTAL EP FRANCE
763;3AH;ACA - RECOSUP - TIGF
763;3AI;ACA - RECOSUP - TOTALGAZ SNC
763;3AJ;ACA - RECOSUP - TOTAL FLUIDES
654;9AA;ACA - GEOSTOCK SARL -  ARTICLE 39 - MIGRE
710;3AK;ACA - ARTEMIS - ARTICLE 83
710;3AL;ACA - BASF FRANCE - ARTICLE 83
710;3AM;ACA - ALSAPAN - ARTICLE 83
844;3AO;ACA - APRR - ARTICLE 83
847;3AN;ACA - EUROCLEAR FRANCE - ARTICLE 83
710;3AP;ACA - INEOS MANUFACTURING FRANCE - ARTICLE 83
710;3AQ;ACA - INEOS FRANCE SAS - ARTICLE 83
808;1AY;ACA - SEVABEL IFC UC - MIGRE
808;1AZ;ACA - SATAL IFC UC - MIGRE
808;1BA;ACA - SAP IFC UC - MIGRE
710;3AR;ACA - INFINEUM - ARTICLE 83
710;3AS;ACA - BASF KNOLL - ARTICLE 83
818;3BU;AC - RCD - L'OREAL SA
818;3BF;ACA - RCD - COSMETIQUE ACTIVE PRODUCTION
818;3BG;ACA - RCD - OAPLI
818;3BH;ACA - RCD - GEMEY
818;3BI;ACA - RCD - CHIMEX
818;3BJ;ACA - RCD - GMG
818;3BK;ACA - RCD - OAPLF
818;3BL;ACA - RCD - COSMETIQUE ACTIVE FRANCE
818;3BM;ACA - RCD - COSMETIQUE ACTIVE INTERNATIONAL
818;3BN;ACA - RCD - LPB
818;3BO;ACA - RCD - PCI
818;3BP;ACA - RCD - SICOS
818;3BQ;ACA - RCD - SOPROCOS
818;3BR;ACA - RCD - CLOE
818;3BS;ACA - RCD - BIOTHERM
818;3BT;ACA - RCD - FAPAGAU
818;3BV;ACA - RCD - AIMSTO
818;3BW;ACA - RCD - ARECA
801;9AN;***RADIATION***
710;UC1;***OPAC DU VAL DE MARNE - ARTICLE 83
710;UC2;***EXPANSIEL - ARTICLE 83
710;UC3;***SAREPA - ARTICLE 83
710;UC4;ACA - MEMORIAL DE CAEN - ARTICLE 83
720;UC5;CNP - MEMORIAL DE CAEN - ARTICLE 82
740;UC6;CNP - MUTUELLE DU MEDECIN - ARTICLE 82
817;3BX;ACA - ARISTA - ARTICLE 83
801;1CA;***RADIATION***
710;3BY;ACA - ALSAPAN FURNITURE - ARTICLE 83
654;1AO;ACA - APRR - IFC - MIGRE
847;3CB;ACA - EUROCLEAR SA - ARTICLE 83
763;3CC;ACA - TOTAL CORSE - ARTICLE 83
710;3CD;ACA - BASF COATINGS SA - ARTICLE 83
710;3CE;ACA - BASF SYSTEMES D'IMPRESSION - ARTICLE 83
710;3CG;ACA - PACT ARIM ET EX PERE - ARTICLE 83
710;3CF;ACA - CREDIT MUNICIPAL BANQUE - ARTICLE 83
139;4CH;CNP - BUSINESS FRANCE (EX AFII) - PERE
139;4CL;CNP - GROUPE VICTOR HUGO - PERE
768;3CJ;ACA - ALLIANZ - ADMINISTRATIFS
768;3CK;ACA - ALLIANZ - COMMERCIAUX
710;3CM;ACA - GIE STOCKAGE LA CRAU - ARTICLE 83
962;2CN;CNP - PPC
763;3CO;ACA - TOTAL FILIALES - ARTICLE 83
710;3CP;ACA - BPI FRANCE INVESTISSEMENT - ARTICLE 83
139;4CQ;CNP - ETERNIT - PERE
710;3CR;ACA - ARKEMA - ARTICLE 83
768;3CS;ACA - AGC&S - ALLIANZ HOLDING FRANCE - ARTICLE 83
710;3AT;ACA - BASF COATINGS SYSTEMES - ARTICLE 83
720;2AS;CNP - BASF KNOLL - ARTICLE 82
710;3AV;ACA - BASF AGRO - ARTICLE 83
710;3AW;ACA - BASF PHARMA - ARTICLE 83
710;3AX;ACA - ASPA - ARTICLE 83
801;1BB;ACA - SAP IFC EUROS - MIGRE
720;2AX;CNP - ASPA -  ARTICLE 82
654;9AU;ACA - AMADEUS - ARTICLE 39 - MIGRE
710;3BC;ACA - CREDIT MUNICIPAL - ARTICLE 83
C4D;3BD;ACA - AIR LIQUIDE DIRIGEANTS - ARTICLE 83
818;3BE;ACA - RCD - LASCAD
442;6EN;ACA - IGRS SICOVAM
710;3EU;ACA - GENERALI - ARTICLE 83
710;3EY;ACA - GROUPE COMPAGNIE DES ALPES - ARTICLE 83
935;5FC;CNP - CONTRATS MADELIN EN EUROS
830;9FK;ACA - FRANCE TELECOM - MIGRE
936;9FL;*** LA MONDIALE
832;1FM;ACA - OSEO - MIGRE
801;9EK;ACA - ARTICLES 39 EN EUROS AVEC TMG - MIGRE
591;7FA;CNP - AFD IEDOM RENTE CRISTALLISATION PRESENTS
591;7FB;CNP - AFD IEDOM RENTE CRISTALLISATION ABSENTS
818;3EO;ACA - REGIE DE CAZOULS LES BEZIERS - ARTICLE 83
C4D;2BD;ACA - AIR LIQUIDE UC - ARTICLE 82
A5C;2FN;CNP - AIR LIQUIDE ASSURANCE VIE
710;3FQ;ACA - UES BANQUE PRIVEE 1818 ART 83
801;1FJ;ACA - PERENNA IFC - MIGRE
754;7FN;ACA - RVEA
522;9EX;ACA - RT3 - FONDS COLLECTIFS
259;259;TNF DEPENDANCE
A4F;5FF;CNP - MADELIN INITIATIVE INDEPENDANTS FIDAL
829;9FP;ACA - FONDS COLLECTIF POLE EMPLOI RF
126;3DX;CNP - COMPAGNIE PETROCHIMIQUE DE BERRE
126;3DY;CNP - COMPAGNIE DE DISTRIBUTION DES HYDROCARBURES
126;3DV;CNP - PETROPLUS RAFFINAGE PETIT COURONNE SAS
126;3DW;CNP - PETROPLUS RAFFINAGE REICHSTETT SAS
461;BH0;CAPI-RESSOURCES
461;MB0;RESSOURCES SELECTION VIE
461;MD0;PLAN D'EPARGNE RETRAITE ENTREPRISE RSVII
801;1DZ;ACA - CAISSE D'EPARGNE IFC EUROS
515;3EA;ACA - CAISSE D'EPARGNE - PER ENTREPRISE (Art 83)
461;BC0;CAPI-RETRAITE
461;BE0;COTE D'AZUR RETRAITE
461;BF0;RETRAITE PME
461;BJ0;PREPAR RETRAITE ENTREPRISE
461;CN0;CIEL BLEU
461;LY0;+X CAPI-RENTE
710;3EB;*** ACA - OREPA - ARTICLE 83
461;IS0;CAPI RESSOURCE MULTISUPPORT
461;MJ0;RESSOURCE DE RETRAITE
000;XXX;*********************
461;MB4;RSV - GROUPE SIEMENS
813;3DZ;ACA - FIDAL - ARTICLE 83
126;3EC;ACA - PETROPLUS HOLDING FRANCE SAS
126;3ED;ACA - PETROPLUS MARKETING FRANCE SAS
139;4EE;CNP - SEMIP - PERE
278;3EF;CNP - SHELL - IRS
654;1EH;ACA - EAUX DE PARIS - MIGRE
093;3EG;ACA - AFD IEDOM - ARTICLE 83
818;3EI;ACA - RCD - L'OREAL
710;3EJ;ACA - SNET - ARTICLE 83
461;EI0;RETRAITE
461;EO0;SYNAL RETRAITE ENTREPRISES
818;3EM;ACA - MURIEL - ARTICLE 83
605;7FD;CNP - REPGDT
801;1FE;ACA - IFC ET IDL EN EUROS SANS TMG - MIGRE
018;7FG;ACA - REGIME RETRAITE AFD
801;9FI;ACA - ARTICLES 39 EN EUROS SANS TMG - MIGRE
818;3FJ;ACA - PERENNA - ARTICLE 83
818;3EL;ACA - PHILIPPE VILLIN CONSEIL - ARTICLE 83
619;3ER;ACA - AIR LIQUIDE - ARTICLE 83 - MIGRE
522;2EP;ACA - RENAULT RT3
710;3FH;ACA - COCA COLA SERVICES FRANCE
630;2CI;ACA - COMEDIENS FRANCAIS - MIGRE
829;3FP;ACA - POLE EMPLOI REGIME FERME CI
610;8FP;CNP - POLE EMPLOI REGIME OUVERT EN POINTS
710;3FS;ACA - PERENNA PER ENTREPRISES
A4F;5FT;CNP - PERENNA MADELIN RETRAITE
710;3FU;ACA - PER ENTREPRISE PAS DE CALAIS HABITAT - MIGRE
654;1FR;ACA - PERENNA IFC PROFILS - MIGRE
880;2FM;CNP - ADER UC
